task,seed,method,budget,hidden_cosine,all_cosine,residual
linear,1213,pcalm,32,0.8109570213187669,0.7727191168182108,0.09885848941203972
linear,1214,pcalm,1,0.8381285888011052,0.5418525480551268,0.035816836709680284
linear,1214,pcalm,2,0.8468179338229896,0.5824841463328833,0.06142979964667445
linear,1214,pcalm,4,0.853148151439475,0.6301501062775965,0.09369244746622002
linear,1214,pcalm,8,0.8462779848085968,0.6752261281030928,0.1198223474080825
linear,1214,pcalm,16,0.8295985151293415,0.7257927141678892,0.11919462438344654
linear,1214,pcalm,32,0.8636198173727841,0.8161433708996177,0.08429802348295568
linear,1215,pcalm,1,0.7961693964104524,0.5818359012106953,0.03948795998245587
linear,1215,pcalm,2,0.8069591938684577,0.5972314380949879,0.06743544421794889
linear,1215,pcalm,4,0.8113495619155057,0.6084285922639231,0.10196331354637746
linear,1215,pcalm,8,0.7944305386185263,0.6177638003585476,0.1283630532452299
linear,1215,pcalm,16,0.7624899931592124,0.6463983321809111,0.12608900636310932
linear,1215,pcalm,32,0.818186711047552,0.7657296182522347,0.09116720353781824
linear,1216,pcalm,1,0.8209956615296524,0.568341278551496,0.04585637202055077
linear,1216,pcalm,2,0.8308447334857543,0.6006177397035541,0.07732885886337997
linear,1216,pcalm,4,0.8339430576000679,0.6118029799668594,0.1136936068392768
linear,1216,pcalm,8,0.80016003711433,0.6093824435715781,0.1368242479357934
linear,1216,pcalm,16,0.7455785524110948,0.6244380058608037,0.13464625105854525
linear,1216,pcalm,32,0.7913636406316238,0.7206638133518832,0.1051992588180213
linear,1217,pcalm,1,0.8378644739263035,0.538298977615621,0.038933826110373444
linear,1217,pcalm,2,0.8470183591185421,0.5737744445954536,0.06668388549266428
linear,1217,pcalm,4,0.8552082161602685,0.6124285324501311,0.10080152447892522
linear,1217,pcalm,8,0.8506598110216042,0.6564695459438441,0.12571088745530246
linear,1217,pcalm,16,0.8239074771226398,0.6992985146231857,0.12405375054425734
linear,1217,pcalm,32,0.8555971977871102,0.7956025718207387,0.09247984648639163
linear,1218,pcalm,1,0.867261213339393,0.6242360600043746,0.03883232364853416
linear,1218,pcalm,2,0.8743482175040349,0.6512282855664377,0.06722340605158869
linear,1218,pcalm,4,0.880520128485581,0.6720501489162044,0.10328183080854689
linear,1218,pcalm,8,0.87705802612494,0.689347470503515,0.13106547075748845
linear,1218,pcalm,16,0.8553814997795646,0.7326089042242667,0.12892286084135787
linear,1218,pcalm,32,0.8852191497765873,0.8346252585450685,0.09412377878039582
linear,1219,pcalm,1,0.8723126247853803,0.5453045687403095,0.04312382973043669
linear,1219,pcalm,2,0.8782654365560885,0.5981085198016978,0.07313078996557418
linear,1219,pcalm,4,0.8776717768581368,0.6621661929179664,0.10909840735674924
linear,1219,pcalm,8,0.8561866081278513,0.7044216324138783,0.13448649650897068
linear,1219,pcalm,16,0.8183382598347048,0.7273332817396461,0.13048440381722945
linear,1219,pcalm,32,0.8509751624078776,0.8084463089970721,0.09613836803179023
linear,1200,shuffle,1,0.7892152541778468,0.5360856675179209,0.03929231758507396
linear,1200,shuffle,2,0.8001451844540675,0.5661512441899552,0.06738959887106792
linear,1200,shuffle,4,0.810059276296448,0.5875822415758675,0.10263835632392158
linear,1200,shuffle,8,0.8054852734183438,0.5950326777511015,0.1307488482479066
linear,1200,shuffle,16,0.7693861569500927,0.6249406329105242,0.13383581575484846
linear,1200,shuffle,32,0.7706646506788156,0.7165299569362683,0.11649405614940177
linear,1201,shuffle,1,0.8056681274594536,0.5904047015004308,0.03623138461783786
linear,1201,shuffle,2,0.8143963783999618,0.6131629646618884,0.06330571394792975
linear,1201,shuffle,4,0.8203802915178712,0.6221920690416874,0.09870973010015706
linear,1201,shuffle,8,0.8100669080676142,0.6159730291729915,0.12780626095702052
linear,1201,shuffle,16,0.7788771723259196,0.6429982241074867,0.13107125452756174
linear,1201,shuffle,32,0.806085112473908,0.7397244311629041,0.11844239059900082
linear,1202,shuffle,1,0.863358292106987,0.6043688521500935,0.046706989085507904
linear,1202,shuffle,2,0.8703216961447504,0.6489098957165498,0.07819572256938552
linear,1202,shuffle,4,0.8673416378150598,0.7013069796522772,0.11415958485359495
linear,1202,shuffle,8,0.8359046929523907,0.712242413524915,0.13732000643515332
linear,1202,shuffle,16,0.797691791531266,0.7097880907809503,0.13595016976671676
linear,1202,shuffle,32,0.8052618284603135,0.7584031079966203,0.12384914408108293
linear,1203,shuffle,1,0.8206449067363134,0.4593672423605012,0.040997192291843294
linear,1203,shuffle,2,0.8265172675083674,0.522512388895636,0.06696107535401473
linear,1203,shuffle,4,0.8276263882216861,0.6044705334457618,0.09570925929514364
linear,1203,shuffle,8,0.813938071528879,0.6654870356896004,0.11606355474668262
linear,1203,shuffle,16,0.7841331897669767,0.7003773303732442,0.11827299935195731
linear,1203,shuffle,32,0.801769171418223,0.7711397928678974,0.10190583419765885
linear,1204,shuffle,1,0.8464082531343661,0.5839714644694382,0.048467948142843206
