task,seed,method,lr,eta,alpha,validation_mse,runtime_seconds,residual
nonlinear,1102,tp,0.003,0.05,0.5,0.012306535167926782,0.9939358939991507,0.009849436114764257
nonlinear,1103,tp,0.003,0.05,0.5,0.019470308127657886,0.8445401689969003,0.014010174966777091
nonlinear,1104,tp,0.003,0.05,0.5,0.01229535099871476,0.8706010050009354,0.01149255983079575
nonlinear,1100,tp,0.003,0.1,0.2,0.01312634187097148,0.8450178909988608,0.013868674843522772
nonlinear,1101,tp,0.003,0.1,0.2,0.018089384801183685,0.8640062010017573,0.016543870967589584
nonlinear,1102,tp,0.003,0.1,0.2,0.013043957088591974,0.9079719729998033,0.013280870985591636
nonlinear,1103,tp,0.003,0.1,0.2,0.0230496414121024,0.8263465810014168,0.018946991222524842
nonlinear,1104,tp,0.003,0.1,0.2,0.012898771431166689,0.8541402199989534,0.01551598137195255
nonlinear,1100,tp,0.003,0.1,0.5,0.014104228966989818,0.9029688629998418,0.01177665283869425
nonlinear,1101,tp,0.003,0.1,0.5,0.01864620990873204,0.8476887740034726,0.01463832767964107
nonlinear,1102,tp,0.003,0.1,0.5,0.01324477942276433,0.840545335002389,0.011440070587641488
nonlinear,1103,tp,0.003,0.1,0.5,0.023056045167511904,0.8308194959972752,0.01661974369634114
nonlinear,1104,tp,0.003,0.1,0.5,0.01371855411757479,0.8314572500021313,0.01338301137533105
nonlinear,1100,shuffle,0.001,0.05,0.2,0.031159890806806794,0.8491008010023506,0.01979302143220135
nonlinear,1101,shuffle,0.001,0.05,0.2,0.044253378640289075,0.8492185180002707,0.02541448620446613
nonlinear,1102,shuffle,0.001,0.05,0.2,0.036953467899716076,0.8345898080006009,0.019234496194451715
nonlinear,1103,shuffle,0.001,0.05,0.2,0.04422615609458023,0.8731962599995313,0.026351487944942943
nonlinear,1104,shuffle,0.001,0.05,0.2,0.03113325175691127,0.8694730339993839,0.01976473502686447
nonlinear,1100,shuffle,0.001,0.05,0.5,0.032038465074815566,0.8400665320004919,0.016612466736751954
nonlinear,1101,shuffle,0.001,0.05,0.5,0.04461216978096704,0.8346428189979633,0.021440870581441993
nonlinear,1102,shuffle,0.001,0.05,0.5,0.03819287418173472,0.8328478990006261,0.016338729079352046
nonlinear,1103,shuffle,0.001,0.05,0.5,0.04526806148291457,0.8330774900023243,0.022161729744565938
nonlinear,1104,shuffle,0.001,0.05,0.5,0.03182033742416521,0.8499576989997877,0.01652394958777796
nonlinear,1100,shuffle,0.001,0.1,0.2,0.031865316603626036,0.868603250997694,0.023186665010591714
nonlinear,1101,shuffle,0.001,0.1,0.2,0.04549655960938428,0.8616640319996804,0.02883461562504017
nonlinear,1102,shuffle,0.001,0.1,0.2,0.04136055758073708,0.8375447899998107,0.022901202193086067
nonlinear,1103,shuffle,0.001,0.1,0.2,0.048457710605549736,0.8954099069997028,0.02975042828501443
nonlinear,1104,shuffle,0.001,0.1,0.2,0.032352450228280975,0.9158909719990334,0.022904889308995775
nonlinear,1100,shuffle,0.001,0.1,0.5,0.03260201895242973,0.9297932490007952,0.01908237105499473
nonlinear,1101,shuffle,0.001,0.1,0.5,0.04587705700988746,1.01147001299978,0.025543229975195172
nonlinear,1102,shuffle,0.001,0.1,0.5,0.041966631452444,0.9017637389988522,0.019853667244163653
nonlinear,1103,shuffle,0.001,0.1,0.5,0.04884018258073031,0.8459691700008989,0.02539830797084418
nonlinear,1104,shuffle,0.001,0.1,0.5,0.03324135929480566,0.8701694810006302,0.019696912484386826
nonlinear,1100,shuffle,0.003,0.05,0.2,0.011415032429139937,0.9471701840011519,0.012079277432609689
nonlinear,1101,shuffle,0.003,0.05,0.2,0.016858695239998167,0.9526889310000115,0.01467974431696465
nonlinear,1102,shuffle,0.003,0.05,0.2,0.012022860203177868,0.9914423019981768,0.011838969042896772
nonlinear,1103,shuffle,0.003,0.05,0.2,0.018091021306695754,0.8989408029992774,0.01645063321526524
nonlinear,1104,shuffle,0.003,0.05,0.2,0.0119572291510054,0.8432677310011059,0.01322844228634808
nonlinear,1100,shuffle,0.003,0.05,0.5,0.012404721230212324,0.8462979450014245,0.010278231808290347
nonlinear,1101,shuffle,0.003,0.05,0.5,0.017189866727658615,0.8544977899982769,0.012659828516424427
nonlinear,1102,shuffle,0.003,0.05,0.5,0.012529864884936862,0.9661856379971141,0.010113358524471417
nonlinear,1103,shuffle,0.003,0.05,0.5,0.018641101611490064,0.9572841299996071,0.014095350472117527
nonlinear,1104,shuffle,0.003,0.05,0.5,0.012503047366651818,0.9287091300029715,0.011348830878875792
