task,seed,method,lr,eta,alpha,validation_mse,runtime_seconds,residual,test_mse,r2,noisy_input_mse,initial_test_mse
linear,1204,shuffle,0.003,0.05,0.2,0.625075577489476,0.8525653479991888,0.07511201437436273,0.6078351084725276,0.46815094152045955,0.6331673082970134,1.6013078914507222
linear,1205,shuffle,0.003,0.05,0.2,0.5722660097936935,0.9682201020004868,0.07728776100694375,0.6001792985748312,0.44825267280454917,0.6249707965488289,1.4048286819579279
linear,1206,shuffle,0.003,0.05,0.2,0.49258487016223973,0.8720335479993082,0.0732881822428973,0.5035587482461865,0.5136190276829404,0.5308902947056917,1.2549982624519205
linear,1207,shuffle,0.003,0.05,0.2,0.5394618207516575,0.8383065109992458,0.07660424468992885,0.5587953224317724,0.447248874668149,0.5849732493791449,1.278071097435192
linear,1208,shuffle,0.003,0.05,0.2,0.5410541290158822,0.9364322959991114,0.06717458570915731,0.5486125449431039,0.4153655250265028,0.570308159490221,1.1810939052529983
linear,1209,shuffle,0.003,0.05,0.2,0.5004624005953857,0.8229253520003112,0.0711182782398925,0.5176703410164442,0.48086303611798886,0.5444531748803859,1.4039045912944281
linear,1210,shuffle,0.003,0.05,0.2,0.5598139855963962,0.9945175869979721,0.07565001707326283,0.5456894483584702,0.4716752560878199,0.5739268530419849,1.2344300668182617
linear,1211,shuffle,0.003,0.05,0.2,0.5105894459502193,0.8834545700010494,0.07107384315701469,0.5194853133675295,0.46192968137466495,0.5391963425474814,1.2623664796642393
linear,1212,shuffle,0.003,0.05,0.2,0.5351524838405785,0.806876236001699,0.08107951116653593,0.5419028818222079,0.46786595272291776,0.5629219454009419,1.2753160373018382
linear,1213,shuffle,0.003,0.05,0.2,0.5592241591903352,0.8638350609980989,0.07779890925057724,0.5605714723359951,0.40423039451757004,0.5839218207998534,1.3396520978542614
linear,1214,shuffle,0.003,0.05,0.2,0.5141738832252362,0.8937943290002295,0.07506638325768626,0.5032272788041917,0.48287320315371884,0.5232516635532698,1.2210208640497369
linear,1215,shuffle,0.003,0.05,0.2,0.6115592215290139,0.9523195520014269,0.07693240850917976,0.5838327831173288,0.44525251363487295,0.6055017400891799,1.3531759601730513
linear,1216,shuffle,0.003,0.05,0.2,0.5409166560698133,0.8309711629990488,0.06970085493985012,0.5909019617392074,0.4319708172741754,0.6120861426840911,1.4344518621314737
linear,1217,shuffle,0.003,0.05,0.2,0.481179462267388,0.87807468200117,0.06929240317533299,0.5163044861354372,0.48368772764038914,0.5458175663161291,1.2781400618225416
linear,1218,shuffle,0.003,0.05,0.2,0.5642435902278614,0.9118231249995006,0.07497216722220895,0.5913627996610699,0.4129799178986956,0.6180148138352662,1.316023050105071
linear,1219,shuffle,0.003,0.05,0.2,0.6603600614795818,1.0150076239988266,0.07452242432132074,0.6842527640973793,0.34834191125171776,0.7061280180969747,1.3948560950466493
linear,1200,tp,0.003,0.05,0.2,0.496320995949771,0.8241719840007136,0.07159911500958498,0.49416127416273387,0.515466436851518,0.5162975505103594,1.2748265252348865
linear,1201,tp,0.003,0.05,0.2,0.6168109263879112,0.8998539009990054,0.07707087068516588,0.6102563336176944,0.37735489645351417,0.6334394526737044,1.2356421388832803
linear,1202,tp,0.003,0.05,0.2,0.5482554057203223,0.9727882070001215,0.0751061555681297,0.5544291062434759,0.4087119119817739,0.5727791903592424,1.3674797700783223
linear,1203,tp,0.003,0.05,0.2,0.5585528596151615,0.9238016810013505,0.07270834077734921,0.5516453838853784,0.4333045291969645,0.5640634863751245,1.2865031267484086
linear,1204,tp,0.003,0.05,0.2,0.6149631141319573,0.9843873709978652,0.07387008048568863,0.6075122828783649,0.4684334103774166,0.6311703823375011,1.6013078914507222
linear,1205,tp,0.003,0.05,0.2,0.5690033143484206,0.9577244950014574,0.07606122660943385,0.5973201659350671,0.4508810853403248,0.6228240008567817,1.4048286819579279
linear,1206,tp,0.003,0.05,0.2,0.5158125416820528,0.8014578879992769,0.07181896732470232,0.5280860649613354,0.4899284053001669,0.554222153185021,1.2549982624519205
linear,1207,tp,0.003,0.05,0.2,0.5335028114839356,0.8972214109999186,0.0757869070187089,0.5541158315651805,0.45187774992650387,0.5808060701976939,1.278071097435192
linear,1208,tp,0.003,0.05,0.2,0.5387150263251893,0.9304595129979134,0.0649480164308383,0.5452214424798459,0.4189792874649715,0.5667706501279671,1.1810939052529983
linear,1209,tp,0.003,0.05,0.2,0.5010243041179937,0.8109752020027372,0.07128896459306779,0.5151014709915726,0.48343918406322517,0.5422932579067243,1.4039045912944281
linear,1210,tp,0.003,0.05,0.2,0.5471953707520204,0.8951735070004361,0.0745829219534415,0.5415275927318122,0.475704674862121,0.5696923917266128,1.2344300668182617
linear,1211,tp,0.003,0.05,0.2,0.5210359810647129,0.8990641700002016,0.06991465819711777,0.5356943172472353,0.4451407873333387,0.5567062096793598,1.2623664796642393
linear,1212,tp,0.003,0.05,0.2,0.5431744341936356,0.8226825220008323,0.07949538047932005,0.5478773835840229,0.461999152767383,0.5674873105435421,1.2753160373018382
linear,1213,tp,0.003,0.05,0.2,0.567729302943468,0.8293587740008661,0.07716685721440336,0.5628857014899532,0.4017708555326408,0.5866610116964416,1.3396520978542614
linear,1214,tp,0.003,0.05,0.2,0.5066859459594538,0.8683425869967323,0.07410027160947871,0.4934944452811252,0.492874864899842,0.5133144060085487,1.2210208640497369
linear,1215,tp,0.003,0.05,0.2,0.604860881722166,1.0715634430016507,0.07640832205697855,0.5858491413872614,0.44333660600823344,0.6087173348530618,1.3531759601730513
linear,1216,tp,0.003,0.05,0.2,0.5308387218768829,0.8288608000002569,0.06908299835552537,0.5785280994030498,0.443865709092239,0.599176428964478,1.4344518621314737
linear,1217,tp,0.003,0.05,0.2,0.47682963685639107,0.865142962000391,0.0689832897839458,0.5084556466615915,0.4915366854800931,0.5370764686769413,1.2781400618225416
linear,1218,tp,0.003,0.05,0.2,0.5524116497269502,1.0357875740010059,0.072550984447462,0.5759556171580817,0.4282739565887138,0.6017925226238758,1.316023050105071
