task,seed,method,lr,eta,alpha,validation_mse,runtime_seconds,residual,test_mse,r2,noisy_input_mse,initial_test_mse
linear,1305,pc,0.006,0.05,0.0,0.5087544570197718,0.839376784999331,0.06158399104034034,0.5085130804278202,0.44795035632482716,0.5289956658618503,1.1258355281969896
linear,1305,pcalm,0.006,0.05,0.2,0.5102835780749363,0.8409030840011837,0.05137682678176616,0.5337685728893743,0.4205326041550853,0.5522787408528835,1.1258355281969896
linear,1306,pc,0.006,0.05,0.0,0.5680567371174668,0.9584265689991298,0.06531374779876857,0.5513144250082328,0.39225191002914894,0.5766369818886836,1.128248756948565
linear,1306,pcalm,0.006,0.05,0.2,0.6016756230363264,0.856113482001092,0.05672458147418541,0.5817404426125439,0.3587114234290325,0.6074989834347198,1.128248756948565
linear,1307,pc,0.006,0.05,0.0,0.5534014346268882,0.8538987140018435,0.07426211909625192,0.5777716930846261,0.39794112712471663,0.6042546417848522,1.3058947184857168
linear,1307,pcalm,0.006,0.05,0.2,0.5648417236650393,0.8474886040021374,0.06039710121180901,0.5907790597714035,0.38438698347204414,0.6187256413256681,1.3058947184857168
linear,1308,pc,0.006,0.05,0.0,0.647470765708705,0.8511858949968882,0.07076296766692546,0.5937890260621673,0.3951961885934354,0.6205625095985311,1.2088140711410669
linear,1308,pcalm,0.006,0.05,0.2,0.6332713824066522,0.8194579679984599,0.05590731795157648,0.5793038464660402,0.40995006824450375,0.6067408953775698,1.2088140711410669
linear,1309,pc,0.006,0.05,0.0,0.5464147644509133,0.8580833870000788,0.0615834216521561,0.5315636524349235,0.43270077427203046,0.5538342512761621,1.0942724165322006
linear,1309,pcalm,0.006,0.05,0.2,0.5578429488814142,0.8254932410018228,0.05655700812143229,0.5422081548693098,0.4213406709962969,0.5666024798513485,1.0942724165322006
linear,1310,pc,0.006,0.05,0.0,0.4783850969663259,0.832459536002716,0.06636750643831875,0.46919393585495833,0.49452033009031027,0.4994395172157682,1.1915252406520658
linear,1310,pcalm,0.006,0.05,0.2,0.4955294021921006,0.8320153489985387,0.055492175389581504,0.4813631384265927,0.48141000613063445,0.5125218891246835,1.1915252406520658
linear,1311,pc,0.006,0.05,0.0,0.47378083215483396,0.8282562849999522,0.06850597913311782,0.46835923443403277,0.508356567232193,0.49638613555489847,1.1784912487675838
linear,1311,pcalm,0.006,0.05,0.2,0.48988602668301934,0.8454572770024242,0.055384071234208486,0.48759820428169753,0.48816114354154627,0.5159365023720189,1.1784912487675838
linear,1312,pc,0.006,0.05,0.0,0.6436919963775503,0.8804539260017918,0.06996718789650958,0.6550460097124239,0.39745827887445806,0.6841821315446271,1.4068930727645228
linear,1312,pcalm,0.006,0.05,0.2,0.6443611360208262,0.8600646399972902,0.05942354095795118,0.6684519619251305,0.3851268618445043,0.6993854134980134,1.4068930727645228
linear,1313,pc,0.006,0.05,0.0,0.5572593657190041,0.8810970209997322,0.06599121450516039,0.5789596164816819,0.414617918928168,0.6038653658446694,1.3067035489914407
linear,1313,pcalm,0.006,0.05,0.2,0.5735756204172339,0.8727826620015549,0.054295421435784336,0.5982565816163546,0.3951068903739636,0.6232835525671762,1.3067035489914407
linear,1314,pc,0.006,0.05,0.0,0.5962604307264895,0.8738116629974684,0.06639673950557272,0.594399948066647,0.42819027328574377,0.6181989454509257,1.3118137677983246
linear,1314,pcalm,0.006,0.05,0.2,0.6255203276029369,0.8923934439990262,0.05450751926127116,0.6170497152697014,0.4064013124410367,0.6377043740406574,1.3118137677983246
linear,1315,pc,0.006,0.05,0.0,0.6200428762900662,0.8817211009991297,0.07258673228539186,0.6063245648133012,0.41887906753264814,0.6283517515494438,1.4571524969929357
linear,1315,pcalm,0.006,0.05,0.2,0.6376202017918495,0.8629651269984606,0.05884890372803424,0.6177923390690488,0.40788798444684726,0.6369988650841066,1.4571524969929357
linear,1316,pc,0.006,0.05,0.0,0.5273839680123371,0.8383635810023407,0.060023379063610015,0.5261905715858607,0.4908592105344305,0.5547776418077683,1.2177982648306198
linear,1316,pcalm,0.006,0.05,0.2,0.5685916901137297,0.8587332719980623,0.051082706152567554,0.5826638248353394,0.43621582029565853,0.6082117955670854,1.2177982648306198
linear,1317,pc,0.006,0.05,0.0,0.5902259357001008,0.882818148998922,0.06702654801879472,0.5801583869615503,0.4480953910180967,0.607963884429222,1.241561397103727
linear,1317,pcalm,0.006,0.05,0.2,0.6287976257581315,0.9181422289984766,0.058306542304865,0.6087742964408908,0.4208730795135255,0.6367556111175386,1.241561397103727
linear,1318,pc,0.006,0.05,0.0,0.5282285696081254,0.9050312020008278,0.06607705872290513,0.5610509927259538,0.46334700325575295,0.5901589659887336,1.3298663305285336
linear,1318,pcalm,0.006,0.05,0.2,0.5632419711578475,0.8656408520000696,0.0582383431010507,0.5924449062763071,0.4333182928448329,0.6223417568272883,1.3298663305285336
linear,1319,pc,0.006,0.05,0.0,0.5138241192721199,0.8671249799990619,0.06613392565925882,0.5106469094064803,0.5185386428447853,0.5411902699958363,1.4116867442612617
